*	name	Español
*	card-order	3
*	tts-voice	0,99,0,0,0
*	siri-tts-voice	,Siri|es-MX||com.apple.ttsbundle.Paulina-compact|español (México)|Siri,,,
*	card-theme	Chalkboard - Clear
*	notify-off	1
*	tsv	true
*	deck-stats-1	2636,2853,9993,0,61,70,77,85,159,155,113,50,117,0,70,52,62,87,130,0,135,20,70,88,70,88,93,106,30,70,119,34,107,1665,0,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,17475,0,151,158,154,198,200,171,102,140,273,0,111,127,155,122,311,0,205,50,167,144,176,104,151,189,63,174,164,83,252,14569,0,135,134,128,178,155,132,93,117,244,0,100,111,136,110,281,0,178,42,146,121,155,82,121,158,53,156,145,73,217,4927,0,0,0,0,0,142,179,170,0,0,0,96,0,0,140,0,0,0,0,0,107,28,162,15,0,0,0,162,0,0,6273,0,75,68,75,121,70,77,51,47,136,0,54,58,75,57,148,0,104,13,82,59,103,25,38,92,23,103,120,36,113,680642,0,7505,6815,6129,6257,2104,5107,6159,5660,13911,0,5901,7029,5270,7041,18468,0,8444,394,2952,2762,5137,1412,3281,6271,2394,5322,9790,1788,5631,14601,12193,4162,3549,2210,1861
*	deck-stats-2	2640,2852,8279,116,0,91,124,149,122,99,58,98,0,74,23,57,74,122,66,1,18,36,84,98,126,82,40,15,58,90,17,67,0,1349,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,0,14380,260,0,163,241,158,130,102,123,197,0,100,58,126,57,254,100,0,55,87,100,179,114,130,106,34,124,41,40,148,0,12500,206,0,135,170,141,108,87,116,181,0,90,54,115,52,239,87,0,52,81,90,160,97,117,103,34,111,38,37,130,0,4856,0,0,0,0,146,152,155,0,0,0,100,0,0,153,0,0,0,0,0,126,31,186,16,0,0,0,176,0,0,0,6873,59,0,80,81,103,73,39,76,99,0,44,24,66,12,108,70,0,25,54,39,107,34,71,79,22,82,19,21,62,0,734333,5224,0,6614,4924,7061,5327,6248,8690,11428,0,4669,2736,2259,3103,16960,2090,0,3004,2580,2434,7214,6655,9135,4353,1361,3678,1472,725,3061,0,11329,9592,3683,3360,2333,2137
*	deck-stats-3	2671,2672,0,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2	Category 1	Category 2	Text 3	Text 4	Statistics 1	Statistics 2	Statistics 3	Notes
алкоголь	alcohol					2,0,2,2,2,3,57,2017-10-21 17:45,2017-10-24 02:45	2,0,1,1,1,2,115,2017-10-21 18:25,2017-10-26 13:25		
аллилуйа	aleluya								
алюминий	aluminio								
"анкетные данные
документы"	historial					2,0,11,10,3,2,476,2017-10-10 09:53,2017-10-30 05:53	2,0,12,11,9,9,1615,2017-10-09 10:36,2017-12-15 17:36		
аперитив	aperitivo					2,0,8,8,9,8,1226,2017-10-09 10:58,2017-11-29 12:58	2,0,8,8,9,7,1219,2017-10-03 08:59,2017-11-23 03:59		
апрель	abril					2,0,10,10,10,9,1487,2017-10-11 10:49,2017-12-12 09:49	2,0,8,8,10,8,1574,2017-08-28 21:51,2017-11-02 11:51		
арендовать	alquilar					2,0,7,7,7,4,1650,2017-09-21 20:53,2017-11-29 14:53	2,0,8,8,8,6,1647,2017-09-22 10:16,2017-11-30 01:16		
археолог	arqueólogo								
"атеист
отрицающий бога"	ateo					2,0,5,5,6,5,560,2017-10-05 09:33,2017-10-28 17:33	2,0,6,6,7,7,779,2017-10-13 09:25,2017-11-14 20:25		
бабочка	mariposa								
багажник	maletero					2,0,2,2,2,3,65,2017-10-22 20:19,2017-10-25 13:19	2,0,2,2,2,3,66,2017-10-23 10:36,2017-10-26 04:36		
"банка
консервы"	lata					2,0,7,7,7,6,1962,2017-09-29 09:02,2017-12-20 03:02	2,0,14,12,5,6,493,2017-10-21 18:28,2017-11-11 07:28		
"барашек
ягнёнок"	cordero					2,0,20,13,3,4,168,2017-10-22 20:22,2017-10-29 20:22	2,0,14,12,4,5,529,2017-10-19 11:16,2017-11-10 12:16		
барбекю	barbacoa					2,0,9,8,11,8,1725,2017-09-21 21:00,2017-12-02 18:00	2,0,7,7,9,7,2209,2017-09-25 10:26,2017-12-26 11:26		
башня	torre					2,0,9,8,6,5,1245,2017-10-04 10:25,2017-11-25 07:25	2,0,7,7,9,7,1951,2017-08-28 21:56,2017-11-18 04:56		
"бедный
несчастный"	pobre					2,0,8,8,8,5,1488,2017-09-21 20:53,2017-11-22 20:53	2,0,9,9,11,9,2177,2017-08-28 21:54,2017-11-27 14:54		
бедняжка	pobrecita					2,0,6,6,8,5,3197,2017-09-21 21:11,2018-02-02 02:11	2,0,8,8,9,7,1643,2017-08-28 21:50,2017-11-05 08:50		
"бедро
ляжка"	cadera								
бежать очень быстро	correr la tira					2,0,11,10,11,10,1483,2017-10-15 21:33,2017-12-16 16:33	2,0,8,8,10,8,1425,2017-08-28 21:49,2017-10-27 06:49		
без сомнения	no cabe duda					2,0,10,10,10,7,1928,2017-09-21 21:02,2017-12-11 05:02	2,0,12,11,7,7,1346,2017-10-09 10:36,2017-12-04 12:36		
бензин	gasolina								
бензоколонка	gasolinera								
берег	"orilla

no hay arena en esta <u>orilla
</u>sólo piedras a mis pies"					2,0,8,8,8,5,1497,2017-09-21 11:36,2017-11-22 20:36	2,0,9,9,9,7,1364,2017-09-22 10:14,2017-11-18 06:14		
бесплатно	gratis					2,0,6,6,8,5,2670,2017-09-21 21:11,2018-01-11 03:11	2,0,8,8,10,8,2484,2017-09-22 10:24,2018-01-03 22:24		
"беспокоить
надоедать"	molestar					2,0,17,13,4,3,570,2017-10-13 09:38,2017-11-06 03:38	2,0,22,16,12,10,1863,2017-09-22 10:24,2017-12-09 01:24		
беспокоиться	"preocuparse

<u>me preocupo</u> por ti"					2,0,30,19,3,4,190,2017-10-20 21:25,2017-10-28 19:25	2,0,14,12,4,5,573,2017-10-21 18:31,2017-11-14 15:31		
беспокойство	ansiedad					2,0,13,11,4,5,587,2017-10-22 20:26,2017-11-16 07:26	2,0,16,13,4,5,629,2017-10-20 09:04,2017-11-15 14:04	2,0,0,0,0,1,70,2017-04-25 09:58,2017-04-28 07:58	
"бестактный
неделикатный"	indiscreto					2,0,13,11,5,4,746,2017-10-15 21:30,2017-11-15 23:30	2,0,12,9,2,2,237,2017-10-15 21:05,2017-10-25 18:05		
бетон	hormigón					2,0,5,5,6,5,610,2017-10-06 09:19,2017-10-31 19:19	2,0,6,6,6,4,522,2017-10-06 09:16,2017-10-28 03:16		
библиотека	biblioteca					2,0,8,8,9,10,1650,2017-10-16 20:42,2017-12-24 14:42	2,0,8,8,10,10,1770,2017-10-13 18:32,2017-12-26 12:32		
бизон	bisonte					2,0,9,9,10,9,1483,2017-10-15 21:33,2017-12-16 16:33	2,0,7,7,9,7,1455,2017-08-28 21:37,2017-10-28 12:37	2,0,0,0,0,1,81,2017-04-25 09:58,2017-04-28 18:58	
