*	name	Español
*	card-order	3
*	tts-voice	0,99,0,0,0
*	siri-tts-voice	,Siri|es-MX||com.apple.ttsbundle.Paulina-compact|español (México)|Siri,,,
*	card-theme	Chalkboard - Clear
*	notify-off	1
*	tsv	true
*	deck-stats-1	2636,2853,9993,0,61,70,77,85,159,155,113,50,117,0,70,52,62,87,130,0,135,20,70,88,70,88,93,106,30,70,119,34,107,1665,0,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,17475,0,151,158,154,198,200,171,102,140,273,0,111,127,155,122,311,0,205,50,167,144,176,104,151,189,63,174,164,83,252,14569,0,135,134,128,178,155,132,93,117,244,0,100,111,136,110,281,0,178,42,146,121,155,82,121,158,53,156,145,73,217,4927,0,0,0,0,0,142,179,170,0,0,0,96,0,0,140,0,0,0,0,0,107,28,162,15,0,0,0,162,0,0,6273,0,75,68,75,121,70,77,51,47,136,0,54,58,75,57,148,0,104,13,82,59,103,25,38,92,23,103,120,36,113,680642,0,7505,6815,6129,6257,2104,5107,6159,5660,13911,0,5901,7029,5270,7041,18468,0,8444,394,2952,2762,5137,1412,3281,6271,2394,5322,9790,1788,5631,14601,12193,4162,3549,2210,1861
*	deck-stats-2	2640,2852,8279,116,0,91,124,149,122,99,58,98,0,74,23,57,74,122,66,1,18,36,84,98,126,82,40,15,58,90,17,67,0,1349,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,0,14380,260,0,163,241,158,130,102,123,197,0,100,58,126,57,254,100,0,55,87,100,179,114,130,106,34,124,41,40,148,0,12500,206,0,135,170,141,108,87,116,181,0,90,54,115,52,239,87,0,52,81,90,160,97,117,103,34,111,38,37,130,0,4856,0,0,0,0,146,152,155,0,0,0,100,0,0,153,0,0,0,0,0,126,31,186,16,0,0,0,176,0,0,0,6873,59,0,80,81,103,73,39,76,99,0,44,24,66,12,108,70,0,25,54,39,107,34,71,79,22,82,19,21,62,0,734333,5224,0,6614,4924,7061,5327,6248,8690,11428,0,4669,2736,2259,3103,16960,2090,0,3004,2580,2434,7214,6655,9135,4353,1361,3678,1472,725,3061,0,11329,9592,3683,3360,2333,2137
*	deck-stats-3	2671,2672,0,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2	Category 1	Category 2	Text 3	Text 4	Statistics 1	Statistics 2	Statistics 3	Notes
дым	humo					2,0,7,5,6,7,142,2017-10-21 17:57,2017-10-27 15:57	2,0,4,4,4,5,214,2017-10-20 21:32,2017-10-29 19:32		
дюжина	docena					2,0,7,7,7,4,1633,2017-09-21 20:51,2017-11-28 21:51	2,0,7,7,8,6,1572,2017-08-28 21:53,2017-11-02 09:53		
"едва
почти не"	"apenas

<u>apenas</u> si tenían problemas"					2,0,12,11,9,8,1437,2017-10-15 21:33,2017-12-14 18:33	2,0,10,10,10,11,1848,2017-10-19 21:01,2018-01-04 21:01		
ежемесячный	mensual					2,0,9,9,9,8,1406,2017-10-09 10:58,2017-12-07 00:58	2,0,9,9,9,9,1522,2017-10-12 21:27,2017-12-15 07:27		
ездить верхом	jinetear					2,0,9,9,9,8,1319,2017-10-10 09:53,2017-12-04 08:53	2,0,9,9,9,7,1174,2017-09-26 21:31,2017-11-14 19:31		
"естественный
натуральный"	natural					2,0,7,7,11,8,4109,2017-09-21 21:06,2018-03-12 02:06	2,0,9,9,10,11,1720,2017-10-21 18:31,2018-01-01 10:31		
"ещё
всё ещё
до сих пор"	"todavía

<u>todavía </u>vivo con mis padres
estoy dumiendo <u>todavía</u>"					2,0,20,15,5,2,1096,2017-09-21 11:11,2017-11-06 03:11	2,0,8,8,9,7,1537,2017-08-28 21:50,2017-10-31 22:50		
"ещё
пока"	"aún

<u>aún</u> no es tarde"					2,0,12,10,12,9,1713,2017-09-21 21:00,2017-12-02 06:00	2,0,11,10,3,3,436,2017-10-10 09:38,2017-10-28 13:38		
жаба	sapo					2,0,4,4,4,5,234,2017-10-21 17:57,2017-10-31 11:57	2,0,4,4,4,5,250,2017-10-23 10:40,2017-11-02 20:40		
"жадность
скупость"	avaricia					2,0,11,10,4,5,491,2017-10-22 20:26,2017-11-12 07:26	2,0,13,11,12,12,1463,2017-10-09 10:36,2017-12-09 09:36		
жадный	"avaro

es un hombre <u>avaro</u>"					2,0,10,10,11,8,2573,2017-09-21 21:10,2018-01-07 02:10	2,0,9,9,10,8,1755,2017-08-28 21:53,2017-11-10 00:53	2,0,0,0,0,1,19,2017-04-26 11:00,2017-04-27 06:00	
"жадный
ненасытный
прожорливый"	voraz					2,0,8,8,8,9,886,2017-10-18 10:20,2017-11-24 08:20	2,0,10,8,5,5,484,2017-10-12 21:27,2017-11-02 01:27		
"жалованье
заработная плата"	sueldo					2,0,9,9,9,8,1295,2017-10-09 11:00,2017-12-02 10:00	2,0,9,9,10,10,2140,2017-10-09 10:32,2018-01-06 14:32		
"жар
пыл
задор"	ardor					2,0,10,8,7,8,505,2017-10-22 20:26,2017-11-12 21:26	2,0,11,8,7,7,439,2017-10-15 21:08,2017-11-03 04:08		
"жар
угли"	brasa					2,0,15,11,6,7,967,2017-10-18 10:20,2017-11-27 17:20	2,0,29,17,2,3,88,2017-10-23 10:38,2017-10-27 02:38		
ждать	esperar					2,0,10,10,11,10,2532,2017-09-28 11:14,2018-01-11 23:14	2,0,9,9,10,8,1631,2017-08-28 21:50,2017-11-04 20:50		
желание <i>(мечта, формальное)</i>	deseo					2,0,34,21,5,6,298,2017-10-20 21:24,2017-11-02 07:24	2,0,11,10,11,9,1472,2017-09-22 10:13,2017-11-22 18:13		
"желание
охота
аппеттит"	"gana

y María se moja <u>las ganas</u> en el café"					2,0,5,5,5,6,280,2017-10-20 09:17,2017-11-01 01:17	2,0,7,6,7,8,326,2017-10-21 18:30,2017-11-04 08:30		
железо	hierro					2,0,19,13,2,3,152,2017-10-20 21:25,2017-10-27 05:25	2,0,9,9,9,7,1439,2017-10-04 22:01,2017-12-03 21:01		
желудок	estómago					2,0,13,11,4,5,547,2017-10-21 18:00,2017-11-13 13:00	2,0,7,7,8,6,2671,2017-09-22 21:37,2018-01-12 04:37		
жертва	presa					2,0,15,12,4,5,619,2017-10-16 11:01,2017-11-11 06:01	2,0,8,8,8,6,1134,2017-09-22 10:11,2017-11-08 16:11		
"жёсткий
строгий"	rígido					2,0,10,9,12,9,2423,2017-09-21 21:11,2017-12-31 20:11	2,0,9,9,9,7,1604,2017-09-22 10:24,2017-11-28 06:24		
живот	abdomen					2,0,13,11,10,9,953,2017-09-28 11:13,2017-11-07 04:13	2,0,8,8,8,6,969,2017-09-26 09:06,2017-11-05 18:06		
"жир
сало"	grasa					2,0,9,9,9,8,1282,2017-10-07 15:50,2017-11-30 01:50	2,0,12,11,11,9,1177,2017-10-02 21:14,2017-11-20 22:14		
"житель
сосед"	vecino					2,0,6,6,6,5,477,2017-10-12 10:18,2017-11-01 07:18	2,0,8,7,5,6,504,2017-10-23 10:48,2017-11-13 10:48		
жопа	culo					2,0,6,6,6,5,529,2017-10-13 18:30,2017-11-04 19:30	2,0,6,6,6,6,592,2017-10-09 10:28,2017-11-03 02:28		
"журнал
проверка
осмотр"	"revista

revista de celuloide"					2,0,8,8,8,5,1259,2017-09-21 11:18,2017-11-12 22:18	2,0,9,9,9,9,1492,2017-10-09 10:31,2017-12-10 14:31		
за границу	al extranjero					2,0,7,7,7,4,1404,2017-09-21 11:27,2017-11-18 23:27	2,0,9,9,9,7,1687,2017-09-22 10:18,2017-12-01 17:18		
"заблаговременно
заранее"	antemano					2,0,13,11,5,6,995,2017-10-19 11:07,2017-11-29 22:07	2,0,11,10,11,9,1326,2017-10-06 09:16,2017-11-30 15:16		
заболеть	enfermarse					2,0,4,4,4,3,195,2017-10-15 21:23,2017-10-24 00:23	2,0,5,5,5,6,307,2017-10-21 18:30,2017-11-03 13:30		
заботиться	cuidar					2,0,16,12,4,3,689,2017-10-10 21:45,2017-11-08 14:45	2,0,12,11,5,6,827,2017-10-18 19:43,2017-11-22 06:43		
"завалиться спать
прилечь"	"acostarse

En mi cama <u>me acuesto</u>"					2,0,15,13,5,6,525,2017-10-23 20:51,2017-11-14 17:51	2,0,15,12,4,5,662,2017-10-23 10:48,2017-11-20 00:48		
завёртывать	"envolver

Un sueño me <u>envolvió</u>"					2,0,10,10,10,7,1435,2017-09-21 11:27,2017-11-20 06:27	2,0,25,16,4,4,242,2017-10-15 21:05,2017-10-25 23:05		
заговор	complot					2,0,8,8,8,9,1082,2017-10-22 20:28,2017-12-06 22:28	2,0,7,7,8,6,1038,2017-09-22 10:03,2017-11-04 16:03		
загрязнять	contaminar					2,0,2,2,2,3,65,2017-10-21 17:56,2017-10-24 10:56	2,0,2,2,2,3,74,2017-10-21 18:24,2017-10-24 20:24		
"загрязняющее вещество
примесь"	contaminante					2,0,6,2,1,2,8,2017-10-23 20:49,2017-10-24 04:49	2,0,2,2,2,3,69,2017-10-21 18:25,2017-10-24 15:25		
"задерживать
останавливать
арестовывать"	detener					2,0,18,13,2,3,182,2017-10-17 09:29,2017-10-24 23:29	2,0,9,9,9,9,1485,2017-10-10 21:47,2017-12-11 18:47		
"задерживать
откладывать"	retrasar					2,0,18,11,1,2,79,2017-10-22 20:26,2017-10-26 03:26	2,0,12,9,6,6,413,2017-10-09 10:28,2017-10-26 15:28		
задница (груб)	trasero					2,0,13,11,4,3,455,2017-10-15 21:30,2017-11-03 20:30	2,0,11,10,5,5,704,2017-10-15 21:12,2017-11-14 05:12		
задохнуться	ahogarse					2,0,13,10,2,1,272,2017-10-15 21:27,2017-10-27 05:27	2,0,9,9,9,7,1027,2017-09-25 10:25,2017-11-07 05:25		
"задумчивый
отрешённый"	ensimismado					2,0,12,10,5,2,905,2017-09-26 21:24,2017-11-03 14:24	2,0,17,12,5,5,436,2017-10-15 21:07,2017-11-03 01:07		
"зажигать
растапливать"	encender					2,0,10,8,7,8,488,2017-10-22 20:27,2017-11-12 04:27	2,0,6,6,6,4,504,2017-10-04 22:01,2017-10-25 22:01		
заказать	ordenar					2,0,11,10,11,8,1681,2017-09-21 20:58,2017-11-30 21:58	2,0,19,13,2,3,239,2017-10-21 18:27,2017-10-31 17:27	2,0,0,0,0,1,62,2017-04-26 11:01,2017-04-29 01:01	
закапывать в землю	enterrar					2,0,16,13,11,12,1697,2017-10-23 10:31,2018-01-02 03:31	2,0,13,11,5,6,460,2017-10-23 20:54,2017-11-12 00:54		
"закладывать
отдавать в залог"	empeñar (algo)					2,0,8,6,4,5,180,2017-10-20 09:15,2017-10-27 21:15	2,0,7,5,1,2,90,2017-10-23 10:48,2017-10-27 04:48		
заковывать в цепи	encadenar					2,0,8,8,8,5,908,2017-09-26 21:24,2017-11-03 17:24	2,0,8,8,8,6,799,2017-09-22 10:08,2017-10-25 17:08		
закончить (только что)	"acabar de (inf)

<u>acaba</u> de ducharse"					2,0,31,20,4,3,687,2017-10-09 10:59,2017-11-07 01:59	2,0,9,9,9,7,1680,2017-09-22 10:22,2017-12-01 10:22		
закрывать	"cerrar
"					2,0,9,9,10,7,2974,2017-09-21 20:56,2018-01-23 18:56	2,0,9,9,9,7,1447,2017-09-22 10:14,2017-11-21 17:14		
залив	golfo					2,0,8,7,5,6,458,2017-10-21 18:00,2017-11-09 20:00	2,0,10,8,6,6,384,2017-10-15 21:07,2017-10-31 21:07		
замечать	notar					2,0,14,12,8,7,1363,2017-10-13 09:37,2017-12-09 04:37	2,0,9,9,9,7,1355,2017-09-22 10:15,2017-11-17 21:15	2,0,0,0,0,1,21,2017-04-26 17:24,2017-04-27 14:24	
замок	castillo					2,0,7,7,8,5,1748,2017-09-21 20:58,2017-12-03 16:58	2,0,7,7,9,7,2648,2017-09-22 10:27,2018-01-10 18:27		
занавес	telon					2,0,8,8,9,6,1579,2017-09-21 20:55,2017-11-26 15:55	2,0,8,8,10,8,1960,2017-08-28 21:55,2017-11-18 13:55		
занимать <i>(место, должность)</i>	ocupar					2,0,27,17,8,9,379,2017-10-21 18:00,2017-11-06 13:00	2,0,9,9,9,9,1446,2017-10-09 10:35,2017-12-08 16:35		
"заниматься
тренировать"	ejercitar					2,0,28,18,5,4,460,2017-10-15 21:29,2017-11-04 01:29	2,0,15,12,7,7,761,2017-10-16 20:36,2017-11-17 13:36		
"занятие
бизнес"	negocio					2,0,9,9,9,6,1937,2017-09-25 10:47,2017-12-15 03:47	2,0,44,27,1,2,71,2017-10-23 10:42,2017-10-26 09:42	1,0,0,0,2,3,0,2017-04-26 17:25,1970-01-01 03:00	
запад	oeste					2,0,4,4,4,5,176,2017-10-21 17:58,2017-10-29 01:58	2,0,6,5,6,7,155,2017-10-23 10:40,2017-10-29 21:40		
"запаздывать
опоздать"	tardar					2,0,9,9,9,8,1302,2017-10-09 20:43,2017-12-03 02:43	2,0,10,9,9,7,1034,2017-09-25 10:26,2017-11-07 12:26		
"запах
обоняние"	olor					2,0,13,11,4,5,645,2017-10-20 21:26,2017-11-16 18:26	2,0,9,9,9,9,1504,2017-10-09 10:30,2017-12-11 02:30		
"запинаться
задерживаться"	detenerse					2,0,9,9,9,8,1317,2017-10-12 21:24,2017-12-06 18:24	2,0,13,11,11,9,1397,2017-10-05 09:23,2017-12-02 14:23		
заполнять	"llenar de

llenar sacas de basura"					2,0,2,2,2,3,65,2017-10-21 17:55,2017-10-24 10:55	2,0,2,2,2,3,67,2017-10-21 18:24,2017-10-24 13:24		
заработок	ganancia					2,0,11,10,10,9,1277,2017-10-11 20:24,2017-12-04 01:24	2,0,13,11,10,8,1115,2017-09-28 11:01,2017-11-13 22:01		
"заражать чумой
провонять"	apestar					2,0,8,8,8,9,1049,2017-10-23 10:32,2017-12-06 03:32	2,0,13,9,2,3,245,2017-10-23 10:46,2017-11-02 15:46		
заразиться	contagiarse					2,0,6,5,3,4,200,2017-10-22 20:24,2017-10-31 04:24	2,0,4,4,4,4,226,2017-10-15 21:04,2017-10-25 07:04		
"заразный
прилипчивый"	contagioso					2,0,6,5,2,3,139,2017-10-23 10:27,2017-10-29 05:27	2,0,4,4,4,4,256,2017-10-15 21:08,2017-10-26 13:08		
"засада
западня"	emboscada					2,0,13,11,11,10,1089,2017-10-03 09:12,2017-11-17 18:12	2,0,7,7,8,6,1202,2017-09-22 10:11,2017-11-11 12:11		
"заслуга
отличие"	mérito					2,0,3,2,2,3,22,2017-10-23 10:26,2017-10-24 08:26	2,0,4,2,3,4,29,2017-10-23 10:32,2017-10-24 15:32		
"застрять
увязнуть"	atascarse					2,0,5,3,3,4,34,2017-10-23 20:47,2017-10-25 06:47	2,0,2,2,2,3,67,2017-10-21 18:23,2017-10-24 13:23		
"засунуть
поместить"	"meter

estás <u>metido</u> en mi cabeza"					2,0,20,15,4,5,515,2017-10-22 20:27,2017-11-13 07:27	2,0,9,9,9,7,1675,2017-09-22 10:23,2017-12-01 05:23	2,0,0,0,0,1,20,2017-04-26 10:57,2017-04-27 06:57	
"затмение
мрак"	eclipse					2,0,8,7,5,6,555,2017-10-23 20:50,2017-11-15 23:50	2,0,7,6,5,5,434,2017-10-11 20:27,2017-10-29 22:27		
защита	defensa					2,0,8,7,7,8,498,2017-10-18 10:20,2017-11-08 04:20	2,0,6,6,6,6,470,2017-10-15 21:10,2017-11-04 11:10		
"защитник
покровитель"	patrón					2,0,7,6,3,2,292,2017-10-11 20:22,2017-10-24 00:22	2,0,8,7,8,8,545,2017-10-16 10:16,2017-11-08 03:16		
защищать	proteger					2,0,14,11,4,5,352,2017-10-16 10:24,2017-10-31 02:24	2,0,8,8,10,8,2267,2017-09-22 10:25,2017-12-25 21:25		
"защищать
укрывать"	abrigar					2,0,20,13,1,2,143,2017-10-22 20:29,2017-10-28 19:29	2,0,13,11,5,5,391,2017-10-09 10:25,2017-10-25 17:25		
заяц	liebre					2,0,3,3,3,4,152,2017-10-23 20:49,2017-10-30 04:49	2,0,3,3,3,4,113,2017-10-23 10:38,2017-10-28 03:38		
звезда	estrella					2,0,8,8,8,5,1273,2017-09-21 11:20,2017-11-13 12:20	2,0,8,8,9,7,1434,2017-10-06 09:16,2017-12-05 03:16		
"звонок
вызов"	llamada					2,0,9,9,9,8,1312,2017-10-09 11:00,2017-12-03 03:00	2,0,11,9,4,4,345,2017-10-10 21:45,2017-10-25 06:45		
звук	sonido					2,0,9,9,9,6,1462,2017-09-21 20:55,2017-11-21 18:55	2,0,8,8,8,9,1853,2017-10-23 10:50,2018-01-08 15:50		
здесь (более абстрактное)	"acá

Es mi Patria. Todos mis cercanos viven <u>acá</u>"					2,0,13,11,3,2,387,2017-10-09 10:54,2017-10-25 13:54	2,0,8,8,10,8,2949,2017-09-22 10:27,2018-01-23 07:27		
здесь (конкретное)	"aquí

Los libros están <u>aquí</u> en la estantería"					2,0,17,13,4,5,519,2017-10-17 20:17,2017-11-08 11:17	2,0,12,11,4,5,535,2017-10-18 10:31,2017-11-09 17:31		
здесь мы говорим	acá le decimos					2,0,11,10,7,4,1536,2017-09-21 20:52,2017-11-24 20:52	2,0,8,8,9,7,1683,2017-09-22 10:25,2017-12-01 13:25		
"здоровый
крепкий"	fuerte					2,0,10,9,8,5,1846,2017-09-21 20:58,2017-12-07 18:58	2,0,22,15,4,4,331,2017-10-10 21:46,2017-10-24 16:46	2,0,0,0,0,1,18,2017-04-26 10:36,2017-04-27 04:36	
зеркало	espejo					2,0,3,3,3,4,123,2017-10-20 09:14,2017-10-25 12:14	2,0,4,4,4,5,148,2017-10-23 20:52,2017-10-30 00:52		
"зерно
семя"	grano					2,0,18,13,3,4,313,2017-10-16 22:00,2017-10-29 23:00	2,0,10,9,10,8,1260,2017-09-22 10:10,2017-11-13 22:10		
зима	"invierno

noche de <u>invierno</u>"					2,0,11,10,8,5,1798,2017-09-21 20:57,2017-12-05 18:57	2,0,8,8,9,7,1617,2017-08-28 21:42,2017-11-04 06:42		
"злаки
зерновые"	cereales					2,0,9,9,9,8,1385,2017-10-10 09:54,2017-12-07 02:54	2,0,9,9,9,7,1300,2017-10-03 08:59,2017-11-26 12:59		
"змея
рептилия"	reptil					2,0,7,7,8,5,2228,2017-09-21 20:59,2017-12-23 16:59	2,0,10,9,6,4,1550,2017-09-22 10:10,2017-11-26 00:10		
"знак
сигнал"	señal					2,0,6,6,6,5,488,2017-10-13 09:38,2017-11-02 17:38	2,0,8,7,7,7,420,2017-10-09 20:52,2017-10-27 08:52		
"знание
извещение"	conocimiento					2,0,6,6,6,5,471,2017-10-10 21:44,2017-10-30 12:44	2,0,10,8,6,6,464,2017-10-10 09:39,2017-10-29 17:39		
"знатный
благородный"	noble					2,0,19,14,3,4,277,2017-10-20 09:15,2017-10-31 22:15	2,0,12,10,6,4,481,2017-10-06 00:01,2017-10-26 01:01		
"знать
познакомиться"	conocer					2,0,9,9,9,6,1295,2017-09-21 11:29,2017-11-14 10:29	2,0,19,15,2,2,265,2017-10-16 10:14,2017-10-27 11:14		
"знахарь
шаман"	curandero					2,0,4,4,4,5,227,2017-10-21 17:57,2017-10-31 04:57	2,0,4,4,4,5,201,2017-10-21 18:27,2017-10-30 03:27		
"значить
означать"	significar					2,0,9,9,9,8,1268,2017-10-09 11:00,2017-12-01 07:00	2,0,8,8,8,6,939,2017-09-25 10:24,2017-11-03 13:24		
"зола
пепел"	ceniza					2,0,17,13,2,3,210,2017-10-21 18:00,2017-10-30 12:00	2,0,8,8,8,6,1162,2017-09-22 10:09,2017-11-09 20:09		
зонтик	paraguas					2,0,7,7,8,5,2149,2017-09-25 10:46,2017-12-23 23:46	2,0,8,8,10,8,2439,2017-09-22 10:26,2018-01-02 01:26		
"игра
развлечение"	juego					2,0,8,6,1,2,154,2017-10-18 10:21,2017-10-24 20:21	2,0,11,8,9,10,447,2017-10-18 10:30,2017-11-06 01:30		
играть (на муз. инструменте)	"tocar

<u>tocar</u> la guitara"					2,0,7,7,8,5,2082,2017-09-21 21:03,2017-12-17 15:03	2,0,11,11,11,11,1475,2017-10-13 18:32,2017-12-14 05:32		
идти <i>(о дожде)</i>	llover					2,0,4,3,2,3,59,2017-10-22 20:18,2017-10-25 07:18	2,0,3,3,3,4,104,2017-10-20 09:01,2017-10-24 17:01		
идти (о снеге)	nevar					2,0,5,5,5,6,331,2017-10-17 09:28,2017-10-31 04:28	2,0,5,5,5,5,290,2017-10-16 10:15,2017-10-28 12:15		
идти (шагать)	caminar					2,0,16,14,5,4,860,2017-10-15 21:31,2017-11-20 17:31	2,0,9,9,9,7,1378,2017-08-28 21:48,2017-10-25 07:48		
"идти вниз
понизить"	descender					2,0,6,6,6,5,465,2017-10-12 10:19,2017-10-31 19:19	2,0,11,8,2,2,236,2017-10-15 21:05,2017-10-25 17:05		
иероглиф	jeroglìfico					2,0,7,6,3,4,345,2017-10-19 20:56,2017-11-03 05:56	2,0,6,6,7,7,708,2017-10-15 21:11,2017-11-14 09:11		
"избежать
уклониться"	esquivar					2,0,3,3,3,4,116,2017-10-22 20:21,2017-10-27 16:21	2,0,3,3,3,4,104,2017-10-23 10:38,2017-10-27 18:38		
"избирать
выбирать"	elegir					2,0,2,2,2,3,70,2017-10-21 17:57,2017-10-24 15:57	2,0,3,3,3,4,111,2017-10-23 20:53,2017-10-28 11:53		
"избранный
выбранный"	elegido					2,0,6,6,6,5,488,2017-10-15 21:30,2017-11-05 05:30	2,0,6,6,6,4,548,2017-10-06 00:00,2017-10-28 20:00		
известный как	"conocido como

soy <u>conocido como</u> un lobo solitario"					2,0,10,10,11,8,1842,2017-09-21 21:05,2017-12-07 15:05	2,0,8,8,10,8,3157,2017-10-03 09:01,2018-02-11 22:01		
"известный
определённый
конечно"	cierto								
извините	perdón					2,0,5,5,8,9,4106,2017-10-21 18:02,2018-04-10 20:02	2,0,7,7,8,6,1907,2017-08-28 21:53,2017-11-16 08:53		
"извлекать
вытаскивать"	extraer					2,0,16,12,4,3,337,2017-10-13 18:29,2017-10-27 19:29	2,0,10,9,4,4,548,2017-10-09 10:29,2017-11-01 06:29		
"изготовлять
строить"	fabricar					2,0,14,12,3,2,418,2017-10-09 10:56,2017-10-26 20:56	2,0,8,8,10,8,2926,2017-09-25 10:27,2018-01-25 08:27	2,0,0,0,0,1,65,2017-04-26 11:00,2017-04-29 04:00	
изловчиться	ingeniarse					2,0,9,9,9,6,1525,2017-09-21 11:29,2017-11-24 00:29	2,0,9,9,10,8,2287,2017-09-22 10:12,2017-12-26 17:12		
"изменение
перемена
ухудшение"	alteración					2,0,9,9,9,8,1039,2017-10-01 14:09,2017-11-13 21:09	2,0,9,9,9,7,1316,2017-10-01 13:53,2017-11-25 09:53		
изобретать	inventar					2,0,19,13,6,3,982,2017-09-21 11:17,2017-11-01 09:17	2,0,8,8,9,7,1687,2017-08-28 21:50,2017-11-07 04:50		
изобретение	invencion					2,0,11,10,11,12,1458,2017-10-16 11:01,2017-12-16 05:01	2,0,9,9,9,7,1296,2017-10-01 13:53,2017-11-24 13:53		
изолировать	aislar					2,0,9,9,9,8,1459,2017-10-15 21:32,2017-12-15 16:32	2,0,8,8,8,6,987,2017-09-22 10:09,2017-11-02 13:09		
"изумлять
удивлять"	pasmar					2,0,11,9,5,4,472,2017-10-12 11:06,2017-11-01 03:06	2,0,15,10,5,5,440,2017-10-09 10:26,2017-10-27 18:26		
изумруд	esmeralda					2,0,8,8,10,7,2050,2017-09-21 21:03,2017-12-16 07:03	2,0,8,8,9,7,1585,2017-08-28 21:49,2017-11-02 22:49		
"изысканный
сложный"	sofisticado					2,0,8,7,6,5,449,2017-10-15 21:29,2017-11-03 14:29	2,0,14,6,1,2,123,2017-10-20 09:04,2017-10-25 12:04		
икра	caviar					2,0,12,10,3,2,414,2017-10-09 10:53,2017-10-26 16:53	2,0,8,8,10,8,1926,2017-08-28 21:54,2017-11-17 03:54		
"иллюзия
обман"	ilusion					2,0,8,7,7,6,421,2017-10-09 10:57,2017-10-26 23:57	2,0,6,6,6,4,521,2017-10-06 09:16,2017-10-28 02:16		
иметь дело (с кем-либо)	tratar con					2,0,10,8,6,5,308,2017-10-11 20:22,2017-10-24 16:22	2,0,9,8,6,6,529,2017-10-15 21:11,2017-11-06 22:11		
"иметь место
происходить"	tener lugar					2,0,4,4,4,3,216,2017-10-15 21:23,2017-10-24 21:23	2,0,4,4,5,5,281,2017-10-16 20:34,2017-10-28 13:34		
иметь последствия	tener consecuencias					2,0,8,7,5,6,449,2017-10-22 20:26,2017-11-10 13:26	2,0,6,6,6,6,435,2017-10-13 18:32,2017-10-31 21:32		
"имя
кличка"	nombre					2,0,8,8,9,6,1197,2017-09-21 11:21,2017-11-10 08:21	2,0,11,10,7,7,1459,2017-10-12 21:26,2017-12-12 16:26		
индейка	pavo					2,0,3,3,3,4,111,2017-10-23 10:27,2017-10-28 01:27	2,0,4,3,4,5,63,2017-10-21 18:21,2017-10-24 09:21		
"инструктировать
учить"	instruir					2,0,5,5,5,6,291,2017-10-23 10:28,2017-11-04 13:28	2,0,4,4,4,4,196,2017-10-16 10:15,2017-10-24 14:15		
"инструмент
орудие"	herramienta					2,0,16,11,1,2,147,2017-10-23 20:51,2017-10-29 23:51	2,0,13,11,3,4,350,2017-10-20 21:34,2017-11-04 11:34		
"интернировать
положить <i>(в больницу)</i>"	internar					2,0,2,2,2,3,64,2017-10-22 20:18,2017-10-25 12:18	2,0,2,2,2,3,70,2017-10-23 10:36,2017-10-26 08:36		
искать работу	buscar empleo					2,0,9,8,10,7,1642,2017-09-21 11:20,2017-11-28 21:20	2,0,7,7,10,8,1861,2017-09-22 10:24,2017-12-08 23:24		
"исключительный
из ряда вон выходящий"	extraordinario								
искра	chispa					2,0,9,8,9,8,733,2017-10-11 20:24,2017-11-11 09:24	2,0,7,7,7,7,699,2017-10-15 21:11,2017-11-14 00:11		
"исповедь
покаяние
вероисповедание"	confesión					2,0,9,9,9,8,1340,2017-10-07 15:49,2017-12-02 11:49	2,0,12,10,3,3,444,2017-10-13 18:32,2017-11-01 06:32		
исполниться (лет)	"cumplir

le va a <u>cumplir</u> 18 años"					2,0,10,9,6,5,1158,2017-10-03 21:22,2017-11-21 03:22	2,0,8,8,10,8,2828,2017-09-22 10:26,2018-01-18 06:26		
исправить	corregir					2,0,10,9,12,9,2466,2017-09-21 21:09,2018-01-02 15:09	2,0,9,9,9,7,1550,2017-09-22 10:23,2017-11-26 00:23	2,0,0,0,0,1,67,2017-04-26 11:00,2017-04-29 06:00	
