*	name	Conjugation verbos
*	card-order	3
*	max-new-cards	20
*	card-theme	Chalkboard - Clear
*	tsv	true
*	category-1	participio pasado|futuro|gerundio|pretérito imperfecto|presente|condicional|pretérito perfector simple|subjuntivo pretérito imperfecto|presente subjuntivo
*	deck-stats-1	2636,2880,1628,38,16,1,9,16,15,27,19,16,6,10,40,17,14,41,21,49,195,6,6,16,7,10,0,1,2,4,4,9,7,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,1245,15,13,1,6,16,15,24,20,11,6,12,39,17,9,45,15,49,12,9,3,2,10,9,0,3,6,6,5,10,10,1128,11,10,1,5,14,13,21,15,9,5,12,34,15,8,40,14,42,8,8,3,2,10,8,0,3,4,5,5,8,9,454,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,6,0,0,0,0,0,0,0,0,0,624,3,2,0,3,4,7,8,-9,2,1,11,26,9,5,37,12,29,0,1,2,2,3,3,0,3,-4,2,4,5,4,68060,521,305,149,115,370,860,583,-1037,538,147,985,1150,723,266,1081,722,425,715,541,30,182,647,452,0,145,54,185,181,494,575,1062,948,334,290,242,227
Text 1	Text 2	Text 3	Category 1	Statistics 1
"<u>decir</u>

gerundio"	diciendo		gerundio	2,0,11,10,11,12,2903,2017-11-20 10:58,2018-03-21 09:58
"<u>decir</u>

participio pasado"	dicho		participio pasado	2,0,17,14,7,6,1201,2017-10-26 08:55,2017-12-15 09:55
"<u>decir</u>

presente subjuntivo"	"diga
digas
diga
digamos
digáis
digan"		presente subjuntivo	2,0,4,4,4,3,195,2017-11-14 08:35,2017-11-22 11:35
"<u>decir</u>

pretérito perfector simple"	"dije
dijiste
dijo
dijimos
dijisteis
dijeron"		pretérito perfector simple	2,0,19,14,3,2,402,2017-11-12 09:44,2017-11-29 03:44
"<u>delinquir</u>

presente subjuntivo"	"delinca
delincas
delinca
delincamos
delincáis
delincan"		presente subjuntivo	2,0,6,5,6,5,158,2017-11-14 21:40,2017-11-21 11:40
"<u>distinguir</u>

presente subjuntivo"	"distinga
distingas
distinga
distingamos
distingáis
distingan"		presente subjuntivo	2,0,4,4,4,3,238,2017-11-16 10:30,2017-11-26 08:30
"<u>distribuir</u>

pretérito perfecto simple"	"distribuí
distribuiste
distribuyó
distribuimos
distribuisteis
distribuyeron"		pretérito perfector simple	2,0,6,6,6,5,600,2017-11-08 09:44,2017-12-03 09:44
"<u>divertir</u>

gerundio"	divirtiendo		gerundio	2,0,9,9,10,9,1988,2017-10-18 16:58,2018-01-09 12:58
"<u>dormir</u>

gerundio"	durmiendo		gerundio	2,0,9,9,10,9,2102,2017-09-19 10:36,2017-12-16 00:36
"<u>dormir</u>

pretérito perfecto simple"	"dormí
dormiste
durmió
dormimos
dormisteis
durmieron"		pretérito perfector simple	2,0,8,7,5,4,453,2017-11-12 09:50,2017-12-01 06:50
